Sag mir etwas zu den Rich REST APIs,information
Was sind die wichtigisten Features?,information
Gebe mir ein summary,information
Ist Watson Content Hub teuer?,information
Erz�hl mir was zu Web Application Hosting,information
Kann ich mehr dar�ber Erfahren?,information
Ich brauche mehr Informationen,information
Was ist neu im September?,information
Was genau ist Omni-Channel Delivery,information
Was ist der Unterschied zwischen einer Taxonomie und einer Katergorie?,information
Was ist im Juni released worden?,information
Feature 3 klingt interessant. Was genau kann ich damit machen?,information
Was gibt es neues im November?,information
Was ist neu im Juli?,information
Was wurde im February released?,information
Ich m�chte mehr Informationen,information
Kannst du etwas zu den wichtigsten Features sagen?,information
Hast du details f�r mich?,information
Was genau machst du nochmal?,introduction
Erz�hl mir von dir,introduction
Was ist denn dein Zweck?,introduction
Was machst du?,introduction
Wer bist du?,introduction
Erz�hl mir etwas �ber dich,introduction
Wer ist dein Entwickler,introduction
Was bist du?,introduction
Wie erfahre ich am besten von Updates?,keepintouch
Gibt es keinen Newsletter?,keepintouch
Informiere mich �ber aktuelle Themen zu WCH,keepintouch
Ich m�chte in Verbindung bleiben.,keepintouch
Wie erfahre ich von Updates?,keepintouch
Ich m�chte mit dir in Verbindung bleiben.,keepintouch
Lass uns in Verbindung bleiben,keepintouch
Auf gar keinen Fall,negativeresp
Nope,negativeresp
Danke aber kein interesse,negativeresp
Nein danke,negativeresp
Kein interesse,negativeresp
Nein,negativeresp
Ich mag das nicht!,negativeresp
Das klingt gut,positiveresp
Ja das gef�llt mir,positiveresp
Ja,positiveresp
Das ist eine gute Idee. Ja bitte.,positiveresp
Ja bitte,positiveresp
Aber sicher doch,positiveresp
Absolut,positiveresp
Auf jeden Fall,positiveresp
Sehr gut,positiveresp
Klingt spannend,positiveresp
F�hre ein Update zu watson content hub durch,pushwch
Speichere meine �nderungen nach WCH,pushwch
Aktualsiere watson content hub,pushwch
Lade meine �nderungen zu WCH hoch,pushwch
Synchronisiere meine �nderungen nach WCH,pushwch
Aktualisiere meinen Standort,setgeolocation
Ich m�chte meinen Standort �ndern,setgeolocation
Aktualisiere meine Position,setgeolocation
Ich m�chte meine Lokation �ndern,setgeolocation
Ich bin nun an einem anderen Ort,setgeolocation
Setze meinen Standort,setgeolocation
Update meine Position,setgeolocation
Setzte meinen Ort,setgeolocation
Zeig mir ein paar Bilder zur Dmexco,showimpressionsevent
Was ist auf der Dmexco passiert?,showimpressionsevent
Was ist los auf dem IBM Stand auf der Dmexco,showimpressionsevent
Zeig mir impressionen der Dmexco,showimpressionsevent
Wie sieht der IBM Stand auf der Dmexco aus?,showimpressionsevent
Du bist jetzt Professor Content,switchpersona
Ich m�chte mit Prof. Content reden,switchpersona
Verwandle dich in Mr Watson,switchpersona
Du bist jetzt Mr Watson,switchpersona
Du bist jetzt Prof Content,switchpersona
Verhalte dich wie Dr Hub,switchpersona
Ich m�chte mit Mr Watson reden,switchpersona
Du bist jetzt Dr Hub,switchpersona
Vielen Dank f�r die Info,thanks
Vielen Dank,thanks
Dankesch�n Mr Watson!,thanks
Dank dir,thanks
Cool. Danke!,thanks
Danke das hat mir weitergeholfen,thanks
Das hat mir geholfen. Dankesch�n.,thanks
Danke!,thanks
Dankesch�n Prof Content!,thanks
Sehr geil Prof Content!,thanks
Servus Dr Hub,welcome
Hallo Mr Watson,welcome
Servuc,welcome
Hey Mr Watson,welcome
Guten Tag,welcome
Servue,welcome
Hallo,welcome
Hallo Prof Content,welcome
Hi,welcome
Guten Tag Mr Watson,welcome
Guten Morgen Mr Watson,welcome
Moin Moin,welcome
Servus,welcome
Guten Mittag Mr Watson,welcome
Guten Abend Mr Watson,welcome
Guten Tag Prof Content,welcome
Hiho Professor,welcome
was ist mein name?,whatsmyname
Wie lautet mein name?,whatsmyname
Kannst du mir meinen angegebene Namen sagen,whatsmyname
Sag mir doch mal meinen Namen,whatsmyname
Sag mir meinem Namen,whatsmyname
Wie habe ich mich genannt?,whatsmyname
Wie heiße ich?,whatsmyname
